camera,serial,frame_index,unix_time_ns,image_file,meta_frame_count,meta_frames_dropped,meta_capture_time_ns,meta_camera_time_ns,meta_is_damaged
right,44814140,81,1772205331685818392,right_000081_1772205331685818392.png,81,26,1772205331393075000,5269146494177,False
right,44814140,82,1772205331770151844,right_000082_1772205331770151844.png,82,26,1772205331443390000,5269196890305,False
left,44814142,82,1772205331769159022,left_000082_1772205331769159022.png,82,24,1772205331443376000,5269196886653,False
right,44814140,83,1772205331853353458,right_000083_1772205331853353458.png,83,27,1772205331602049000,5269347324865,False
left,44814142,83,1772205331863116179,left_000083_1772205331863116179.png,83,26,1772205331643606000,5269397101453,False
right,44814140,84,1772205331933804374,right_000084_1772205331933804374.png,84,27,1772205331643620000,5269397106737,False
left,44814142,84,1772205331944898275,left_000084_1772205331944898275.png,84,26,1772205331693913000,5269447385500,False
left,44814142,85,1772205332019673184,left_000085_1772205332019673184.png,85,26,1772205331744185000,5269497613684,False
right,44814140,85,1772205332017969792,right_000085_1772205332017969792.png,85,27,1772205331693911000,5269447363265,False
left,44814142,86,1772205332102720380,left_000086_1772205332102720380.png,86,26,1772205331793989000,5269547450987,False
right,44814140,86,1772205332107881225,right_000086_1772205332107881225.png,86,28,1772205331854343000,5269597630305,False
left,44814142,87,1772205332186580398,left_000087_1772205332186580398.png,87,27,1772205331946122000,5269697856388,False
right,44814140,87,1772205332189521682,right_000087_1772205332189521682.png,87,28,1772205331894213000,5269647635569,False
left,44814142,88,1772205332269659785,left_000088_1772205332269659785.png,88,27,1772205331994573000,5269748112509,False
right,44814140,88,1772205332271880966,right_000088_1772205332271880966.png,88,28,1772205331944327000,5269697864177,False
left,44814142,89,1772205332353242112,left_000089_1772205332353242112.png,89,27,1772205332044362000,5269797921892,False
right,44814140,89,1772205332355597058,right_000089_1772205332355597058.png,89,30,1772205332146191000,5269898136481,False
left,44814142,90,1772205332431013963,left_000090_1772205332431013963.png,90,27,1772205332103087000,5269848233852,False
right,44814140,90,1772205332434063968,right_000090_1772205332434063968.png,90,30,1772205332194990000,5269948448881,False
left,44814142,91,1772205332508090765,left_000091_1772205332508090765.png,91,29,1772205332295040000,5270048532390,False
right,44814140,91,1772205332512078755,right_000091_1772205332512078755.png,91,30,1772205332245274000,5269998649569,False
left,44814142,92,1772205332591143202,left_000092_1772205332591143202.png,92,29,1772205332354520000,5270098648910,False
right,44814140,92,1772205332594170374,right_000092_1772205332594170374.png,92,30,1772205332295055000,5270048515233,False
left,44814142,93,1772205332678480423,left_000093_1772205332678480423.png,93,29,1772205332395180000,5270148709590,False
right,44814140,93,1772205332680474142,right_000093_1772205332680474142.png,93,30,1772205332356643000,5270098660065,False
left,44814142,94,1772205332763366553,left_000094_1772205332763366553.png,94,29,1772205332445303000,5270198770286,False
right,44814140,94,1772205332765599750,right_000094_1772205332765599750.png,94,32,1772205332545413000,5270298960065,False
left,44814142,95,1772205332840098585,left_000095_1772205332840098585.png,95,30,1772205332597821000,5270351297614,False
right,44814140,95,1772205332843934633,right_000095_1772205332843934633.png,95,32,1772205332597841000,5270351282641,False
left,44814142,96,1772205332922345461,left_000096_1772205332922345461.png,96,30,1772205332645725000,5270399320143,False
right,44814140,96,1772205332927684406,right_000096_1772205332927684406.png,96,32,1772205332645735000,5270399305505,False
left,44814142,97,1772205333007595853,left_000097_1772205333007595853.png,97,30,1772205332695787000,5270449352905,False
right,44814140,97,1772205333010488955,right_000097_1772205333010488955.png,97,32,1772205332695808000,5270449366545,False
left,44814142,98,1772205333091530626,left_000098_1772205333091530626.png,98,31,1772205332846200000,5270599646657,False
right,44814140,98,1772205333094212303,right_000098_1772205333094212303.png,98,33,1772205332846216000,5270599661313,False
left,44814142,99,1772205333169951295,left_000099_1772205333169951295.png,99,31,1772205332896285000,5270649791114,False
right,44814140,99,1772205333173024515,right_000099_1772205333173024515.png,99,33,1772205332896335000,5270649778193,False
left,44814142,100,1772205333252628967,left_000100_1772205333252628967.png,100,31,1772205332946221000,5270699712193,False
right,44814140,100,1772205333255426372,right_000100_1772205333255426372.png,100,33,1772205332946194000,5270699699617,False
right,44814140,101,1772205333338756253,right_000101_1772205333338756253.png,101,34,1772205333096599000,5270850078145,False
left,44814142,101,1772205333336652866,left_000101_1772205333336652866.png,101,31,1772205333007922000,5270750135866,False
right,44814140,102,1772205333416034119,right_000102_1772205333416034119.png,102,34,1772205333146623000,5270900167105,False
left,44814142,102,1772205333422810146,left_000102_1772205333422810146.png,102,31,1772205333096559000,5270850061801,False
left,44814142,103,1772205333499323406,left_000103_1772205333499323406.png,103,32,1772205333252961000,5271000467266,False
right,44814140,103,1772205333497376461,right_000103_1772205333497376461.png,103,34,1772205333196570000,5270950088545,False
left,44814142,104,1772205333580547612,left_000104_1772205333580547612.png,104,32,1772205333296723000,5271050248760,False
right,44814140,104,1772205333582136971,right_000104_1772205333582136971.png,104,34,1772205333255826000,5271000456705,False
left,44814142,105,1772205333665148030,left_000105_1772205333665148030.png,105,32,1772205333346794000,5271100309456,False
right,44814140,105,1772205333669827954,right_000105_1772205333669827954.png,105,36,1772205333448513000,5271200477489,False
left,44814142,106,1772205333749802889,left_000106_1772205333749802889.png,106,33,1772205333499764000,5271250910345,False
right,44814140,106,1772205333753145052,right_000106_1772205333753145052.png,106,36,1772205333497398000,5271250901505,False
left,44814142,107,1772205333833555327,left_000107_1772205333833555327.png,107,33,1772205333547237000,5271300719760,False
right,44814140,107,1772205333836776309,right_000107_1772205333836776309.png,107,36,1772205333547243000,5271300711265,False
left,44814142,108,1772205333917323657,left_000108_1772205333917323657.png,108,33,1772205333597286000,5271350780472,False
right,44814140,108,1772205333920309552,right_000108_1772205333920309552.png,108,36,1772205333597305000,5271350772321,False
left,44814142,109,1772205334000650063,left_000109_1772205334000650063.png,109,34,1772205333750072000,5271501521001,False
right,44814140,109,1772205334003558055,right_000109_1772205334003558055.png,109,37,1772205333753584000,5271501513873,False
left,44814142,110,1772205334079507956,left_000110_1772205334079507956.png,110,34,1772205333797770000,5271551302464,False
right,44814140,110,1772205334082499319,right_000110_1772205334082499319.png,110,37,1772205333797760000,5271551295713,False
left,44814142,111,1772205334155964843,left_000111_1772205334155964843.png,111,34,1772205333847947000,5271601474824,False
right,44814140,111,1772205334159460689,right_000111_1772205334159460689.png,111,37,1772205333847981000,5271601468449,False
left,44814142,112,1772205334238823900,left_000112_1772205334238823900.png,112,35,1772205334001933000,5271751740640,False
right,44814140,112,1772205334241505281,right_000112_1772205334241505281.png,112,38,1772205334004871000,5271751735377,False
left,44814142,113,1772205334320518743,left_000113_1772205334320518743.png,113,35,1772205334048263000,5271801773447,False
right,44814140,113,1772205334324161897,right_000113_1772205334324161897.png,113,38,1772205334048262000,5271801768513,False
left,44814142,114,1772205334402275618,left_000114_1772205334402275618.png,114,35,1772205334098212000,5271851750399,False
right,44814140,114,1772205334406318429,right_000114_1772205334406318429.png,114,38,1772205334098275000,5271851773745,False
left,44814142,115,1772205334486993798,left_000115_1772205334486993798.png,115,35,1772205334156197000,5271902285720,False
right,44814140,115,1772205334489816409,right_000115_1772205334489816409.png,115,38,1772205334160241000,5271902309457,False
left,44814142,116,1772205334569995435,left_000116_1772205334569995435.png,116,37,1772205334348576000,5272102165560,False
right,44814140,116,1772205334572512779,right_000116_1772205334572512779.png,116,38,1772205334248670000,5272002180289,False
left,44814142,117,1772205334652719047,left_000117_1772205334652719047.png,117,37,1772205334402539000,5272152700914,False
right,44814140,117,1772205334655533279,right_000117_1772205334655533279.png,117,39,1772205334407139000,5272152698529,False
left,44814142,118,1772205334736624048,left_000118_1772205334736624048.png,118,37,1772205334448754000,5272202342840,False
right,44814140,118,1772205334738365410,right_000118_1772205334738365410.png,118,39,1772205334448763000,5272202340817,False
left,44814142,119,1772205334819000240,left_000119_1772205334819000240.png,119,37,1772205334498938000,5272252431488,False
right,44814140,119,1772205334821028878,right_000119_1772205334821028878.png,119,39,1772205334498938000,5272252429793,False
left,44814142,120,1772205334901755570,left_000120_1772205334901755570.png,120,38,1772205334653069000,5272403144170,False
right,44814140,120,1772205334904155383,right_000120_1772205334904155383.png,120,40,1772205334655958000,5272403143489,False
left,44814142,121,1772205334978128954,left_000121_1772205334978128954.png,121,38,1772205334699338000,5272452841929,False
right,44814140,121,1772205334984845118,right_000121_1772205334984845118.png,121,40,1772205334699360000,5272452841585,False
left,44814142,122,1772205335054532867,left_000122_1772205335054532867.png,122,38,1772205334749370000,5272502986417,False
right,44814140,122,1772205335061307704,right_000122_1772205335061307704.png,122,40,1772205334749371000,5272502958497,False
left,44814142,123,1772205335139751664,left_000123_1772205335139751664.png,123,39,1772205334902996000,5272653084744,False
right,44814140,123,1772205335143118255,right_000123_1772205335143118255.png,123,41,1772205334905148000,5272653085905,False
left,44814142,124,1772205335223315722,left_000124_1772205335223315722.png,124,39,1772205334949671000,5272703201280,False
right,44814140,124,1772205335226201840,right_000124_1772205335226201840.png,124,41,1772205334949675000,5272703202817,False
left,44814142,125,1772205335304305389,left_000125_1772205335304305389.png,125,39,1772205334999634000,5272753178232,False
right,44814140,125,1772205335306350211,right_000125_1772205335306350211.png,125,41,1772205334999641000,5272753180129,False
left,44814142,126,1772205335389001761,left_000126_1772205335389001761.png,126,39,1772205335055400000,5272803490193,False
